#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAF7235422.1         -          7tm_1                PF00001.26         0 1026.5 252.9   6.6e-37  127.4  20.5  11.5  11   0   0  11  11  11  11 Craniofacial development protein 2 [Varanus komodoensis]
KAF7237959.1         -          7tm_1                PF00001.26  1.6e-191  634.2 167.5   5.6e-35  121.1  20.8   7.4   7   0   0   7   7   7   7 Olfactory receptor 5B21 [Varanus komodoensis]
KAF7235631.1         -          7tm_1                PF00001.26  1.5e-162  539.2 120.8   6.5e-34  117.6  21.5   5.8   5   0   0   5   5   5   5 Olfactory receptor 4M1, partial [Varanus komodoensis]
KAF7237974.1         -          7tm_1                PF00001.26  1.3e-150  500.1 128.5   5.5e-37  127.7  18.9   5.4   5   0   0   5   5   5   5 Olfactory receptor 13G1, partial [Varanus komodoensis]
KAF7234825.1         -          7tm_1                PF00001.26   1.7e-77  260.5  60.6   1.4e-39  136.1  28.9   2.4   2   0   0   2   2   2   2 Olfactory receptor 10A4, partial [Varanus komodoensis]
KAF7237968.1         -          7tm_1                PF00001.26   3.8e-77  259.3  40.7   5.9e-41  140.7  18.9   2.4   2   0   0   2   2   2   2 Olfactory receptor 6M1 [Varanus komodoensis]
KAF7234903.1         -          7tm_1                PF00001.26   1.5e-76  257.3  55.1   1.8e-35  122.7  16.3   3.4   3   0   0   3   3   3   3 Olfactory receptor 10AG1 [Varanus komodoensis]
KAF7253611.1         -          7tm_1                PF00001.26   1.1e-75  254.5   9.6   1.5e-75  254.1   9.6   1.2   1   0   0   1   1   1   1 Beta-1 adrenergic receptor [Varanus komodoensis]
KAF7236921.1         -          7tm_1                PF00001.26   2.3e-75  253.4   9.6   2.3e-75  253.4   9.6   1.4   2   0   0   2   2   1   1 D(2) dopamine receptor A, partial [Varanus komodoensis]
KAF7235987.1         -          7tm_1                PF00001.26   4.4e-75  252.5  59.8   3.8e-38  131.5  24.3   2.3   2   0   0   2   2   2   2 hypothetical protein EYD10_17226 [Varanus komodoensis]
KAF7234541.1         -          7tm_1                PF00001.26   5.6e-75  252.2  56.0   6.7e-39  133.9  21.5   2.2   2   0   0   2   2   2   2 Olfactory receptor 6B1 [Varanus komodoensis]
KAF7242333.1         -          7tm_1                PF00001.26   1.8e-74  250.6  17.2   2.2e-74  250.2  17.2   1.1   1   0   0   1   1   1   1 5-hydroxytryptamine receptor 1D [Varanus komodoensis]
KAF7247078.1         -          7tm_1                PF00001.26     3e-74  249.8  14.5   4.4e-74  249.2  14.5   1.3   1   0   0   1   1   1   1 5-hydroxytryptamine receptor 1B [Varanus komodoensis]
KAF7235147.1         -          7tm_1                PF00001.26   1.4e-73  247.6  53.1   4.5e-37  127.9  22.3   2.3   2   0   0   2   2   2   2 hypothetical protein EYD10_18004, partial [Varanus komodoensis]
KAF7239757.1         -          7tm_1                PF00001.26   2.6e-73  246.7  51.7   5.8e-38  130.9  21.7   2.2   2   0   0   2   2   2   2 Olfactory receptor 6B1 [Varanus komodoensis]
KAF7253620.1         -          7tm_1                PF00001.26     4e-73  246.1  25.7   5.4e-73  245.7  25.7   1.2   1   0   0   1   1   1   1 Mu-type opioid receptor [Varanus komodoensis]
KAF7237461.1         -          7tm_1                PF00001.26   5.6e-73  245.6  24.1   7.5e-73  245.2  24.1   1.2   1   0   0   1   1   1   1 Somatostatin receptor type 5 [Varanus komodoensis]
KAF7236432.1         -          7tm_1                PF00001.26   8.4e-72  241.8  21.1   1.4e-71  241.1  21.1   1.3   1   0   0   1   1   1   1 Somatostatin receptor type 2 [Varanus komodoensis]
KAF7253163.1         -          7tm_1                PF00001.26   1.7e-71  240.8   1.3   2.9e-71  240.0   1.3   1.4   1   1   0   1   1   1   1 Alpha-2A adrenergic receptor [Varanus komodoensis]
KAF7236724.1         -          7tm_1                PF00001.26   2.3e-71  240.3   0.0   3.2e-71  239.9   0.0   1.2   1   0   0   1   1   1   1 Alpha-2B adrenergic receptor [Varanus komodoensis]
KAF7250886.1         -          7tm_1                PF00001.26   8.6e-71  238.5  14.1   1.3e-70  237.9  14.1   1.3   1   0   0   1   1   1   1 D(3) dopamine receptor [Varanus komodoensis]
KAF7248563.1         -          7tm_1                PF00001.26   1.1e-70  238.1  14.1   1.4e-70  237.7  14.1   1.1   1   0   0   1   1   1   1 Nociceptin receptor [Varanus komodoensis]
KAF7235148.1         -          7tm_1                PF00001.26   1.4e-70  237.8  45.2   2.7e-36  125.4  23.0   2.3   2   0   0   2   2   2   2 Olfactory receptor 6B1 [Varanus komodoensis]
KAF7242099.1         -          7tm_1                PF00001.26   4.5e-70  236.1  10.2   5.6e-70  235.8  10.2   1.1   1   0   0   1   1   1   1 Beta-4C adrenergic receptor [Varanus komodoensis]
KAF7236018.1         -          7tm_1                PF00001.26   5.2e-70  235.9  17.3   6.8e-70  235.5  17.3   1.1   1   0   0   1   1   1   1 Apelin receptor [Varanus komodoensis]
KAF7240680.1         -          7tm_1                PF00001.26   6.5e-70  235.6  19.7   6.5e-70  235.6  19.7   1.3   2   0   0   2   2   1   1 Somatostatin receptor type 3 [Varanus komodoensis]
KAF7235630.1         -          7tm_1                PF00001.26   1.6e-69  234.3  52.9   7.8e-28   97.7  17.1   3.3   3   0   0   3   3   3   3 Olfactory receptor 11G2 [Varanus komodoensis]
KAF7246315.1         -          7tm_1                PF00001.26   5.4e-69  232.6  18.2   6.2e-69  232.4  18.2   1.0   1   0   0   1   1   1   1 Kappa-type opioid receptor [Varanus komodoensis]
KAF7242128.1         -          7tm_1                PF00001.26   8.4e-69  231.9  15.4   1.2e-68  231.5  15.4   1.2   1   0   0   1   1   1   1 D(1C) dopamine receptor [Varanus komodoensis]
KAF7242713.1         -          7tm_1                PF00001.26   2.4e-68  230.5   2.4   4.3e-68  229.6   2.4   1.4   1   1   0   1   1   1   1 Muscarinic acetylcholine receptor M2 [Varanus komodoensis]
KAF7238573.1         -          7tm_1                PF00001.26   3.1e-68  230.1   0.4   8.7e-68  228.6   0.4   1.7   1   1   0   1   1   1   1 Muscarinic acetylcholine receptor M3 [Varanus komodoensis]
KAF7242468.1         -          7tm_1                PF00001.26   3.4e-68  229.9  19.9   3.4e-68  229.9  19.9   1.5   2   0   0   2   2   1   1 Delta-type opioid receptor [Varanus komodoensis]
KAF7241887.1         -          7tm_1                PF00001.26     4e-68  229.7  14.5   5.9e-68  229.2  14.5   1.3   1   0   0   1   1   1   1 C-X-C chemokine receptor type 1 [Varanus komodoensis]
KAF7238017.1         -          7tm_1                PF00001.26   1.1e-67  228.3  56.6   2.3e-34  119.0  15.5   2.9   3   0   0   3   3   2   2 Olfactory receptor 5V1, partial [Varanus komodoensis]
KAF7241888.1         -          7tm_1                PF00001.26   2.1e-67  227.4  14.4   2.9e-67  226.9  14.4   1.2   1   0   0   1   1   1   1 C-X-C chemokine receptor type 1 [Varanus komodoensis]
KAF7238007.1         -          7tm_1                PF00001.26   4.5e-67  226.3  56.3   4.9e-34  118.0  31.2   2.4   2   0   0   2   2   2   2 hypothetical protein EYD10_15271 [Varanus komodoensis]
KAF7249558.1         -          7tm_1                PF00001.26   8.9e-67  225.3  22.8   1.2e-66  224.9  22.8   1.2   1   0   0   1   1   1   1 Histamine H2 receptor [Varanus komodoensis]
KAF7241915.1         -          7tm_1                PF00001.26   7.2e-65  219.0  16.1   1.1e-64  218.5  16.1   1.2   1   0   0   1   1   1   1 C-X-C chemokine receptor type 4 [Varanus komodoensis]
KAF7242122.1         -          7tm_1                PF00001.26   1.4e-64  218.1   5.6   1.4e-64  218.1   5.6   1.5   2   0   0   2   2   1   1 Alpha-1A adrenergic receptor [Varanus komodoensis]
KAF7240528.1         -          7tm_1                PF00001.26   1.2e-63  215.0  20.5   1.6e-63  214.6  20.5   1.2   1   0   0   1   1   1   1 Galanin receptor type 2 [Varanus komodoensis]
KAF7249092.1         -          7tm_1                PF00001.26   3.5e-63  213.5  23.1   4.8e-63  213.1  23.1   1.2   1   0   0   1   1   1   1 Galanin receptor type 2 [Varanus komodoensis]
KAF7243750.1         -          7tm_1                PF00001.26   4.4e-63  213.2  27.7   4.4e-63  213.2  27.7   1.7   2   0   0   2   2   1   1 Atypical chemokine receptor 3 [Varanus komodoensis]
KAF7249510.1         -          7tm_1                PF00001.26   9.5e-63  212.1   9.9   1.3e-62  211.7   9.9   1.2   1   0   0   1   1   1   1 Alpha-2 adrenergic receptor [Varanus komodoensis]
KAF7252460.1         -          7tm_1                PF00001.26   3.2e-62  210.4  18.1     5e-37  127.8   3.5   2.2   2   0   0   2   2   2   2 5-hydroxytryptamine receptor 7 [Varanus komodoensis]
KAF7235986.1         -          7tm_1                PF00001.26   6.1e-62  209.5  41.3   5.8e-31  107.9  15.9   2.3   2   0   0   2   2   2   2 hypothetical protein EYD10_17227 [Varanus komodoensis]
KAF7241945.1         -          7tm_1                PF00001.26   7.3e-62  209.2   5.6   9.1e-62  208.9   5.6   1.1   1   0   0   1   1   1   1 5-hydroxytryptamine receptor 5B, partial [Varanus komodoensis]
KAF7252446.1         -          7tm_1                PF00001.26   2.2e-61  207.6  18.0   3.7e-61  206.9  18.0   1.3   1   0   0   1   1   1   1 Neuropeptide FF receptor 2 [Varanus komodoensis]
KAF7237991.1         -          7tm_1                PF00001.26   2.6e-61  207.4  34.2   2.7e-33  115.6  17.4   3.8   3   1   0   3   3   2   2 hypothetical protein EYD10_15321 [Varanus komodoensis]
KAF7249690.1         -          7tm_1                PF00001.26     3e-61  207.2  16.1   4.3e-61  206.7  16.1   1.2   1   1   0   1   1   1   1 Histamine H1 receptor [Varanus komodoensis]
KAF7242413.1         -          7tm_1                PF00001.26   5.1e-61  206.4  22.7   6.6e-61  206.1  22.7   1.1   1   0   0   1   1   1   1 C-X-C chemokine receptor type 3 [Varanus komodoensis]
KAF7244089.1         -          7tm_1                PF00001.26   5.5e-61  206.3  17.9   9.3e-61  205.6  17.9   1.4   1   0   0   1   1   1   1 Neuropeptide Y receptor type 2 [Varanus komodoensis]
KAF7235784.1         -          7tm_1                PF00001.26     7e-61  206.0   9.6     7e-61  206.0   9.6   1.5   2   0   0   2   2   1   1 Lysophosphatidic acid receptor 4 [Varanus komodoensis]
KAF7244140.1         -          7tm_1                PF00001.26   8.9e-61  205.6  22.5   1.2e-60  205.2  22.5   1.2   1   0   0   1   1   1   1 Neuropeptide Y receptor type 1, partial [Varanus komodoensis]
KAF7248564.1         -          7tm_1                PF00001.26   1.8e-60  204.7  22.1   2.4e-60  204.3  22.1   1.2   1   0   0   1   1   1   1 Neuropeptides B/W receptor type 1 [Varanus komodoensis]
KAF7247928.1         -          7tm_1                PF00001.26   2.7e-60  204.1  21.9   3.4e-60  203.7  21.9   1.1   1   0   0   1   1   1   1 Atypical chemokine receptor 4 [Varanus komodoensis]
KAF7252487.1         -          7tm_1                PF00001.26   3.6e-60  203.6  17.4   4.7e-60  203.3  17.4   1.1   1   0   0   1   1   1   1 Pyroglutamylated RF-amide peptide receptor [Varanus komodoensis]
KAF7239116.1         -          7tm_1                PF00001.26   6.6e-60  202.8  23.5     9e-60  202.3  23.5   1.2   1   0   0   1   1   1   1 C-C chemokine receptor type 7 [Varanus komodoensis]
KAF7237964.1         -          7tm_1                PF00001.26   7.6e-60  202.6  43.0   1.8e-33  116.1  18.3   2.4   2   0   0   2   2   2   2 Olfactory receptor 4D9 [Varanus komodoensis]
KAF7246828.1         -          7tm_1                PF00001.26   8.1e-59  199.2  20.7   1.4e-58  198.5  20.7   1.4   1   0   0   1   1   1   1 Thyrotropin-releasing hormone receptor [Varanus komodoensis]
KAF7236501.1         -          7tm_1                PF00001.26   1.2e-58  198.6  11.5     2e-58  197.9  11.5   1.3   1   0   0   1   1   1   1 Chemokine-like receptor 1 [Varanus komodoensis]
KAF7254359.1         -          7tm_1                PF00001.26   3.3e-58  197.2  29.1     4e-58  196.9  29.1   1.1   1   0   0   1   1   1   1 C-C chemokine receptor type 6 [Varanus komodoensis]
KAF7252392.1         -          7tm_1                PF00001.26   4.1e-58  196.9  25.0   5.9e-58  196.4  25.0   1.2   1   0   0   1   1   1   1 hypothetical protein EYD10_02112 [Varanus komodoensis]
KAF7253657.1         -          7tm_1                PF00001.26   5.4e-58  196.5  14.6   7.4e-58  196.1  14.6   1.2   1   0   0   1   1   1   1 putative G-protein coupled receptor 25 [Varanus komodoensis]
KAF7235433.1         -          7tm_1                PF00001.26   6.4e-58  196.3  46.7     1e-36  126.8  22.1   2.4   2   0   0   2   2   2   2 Olfactory receptor 14J1 [Varanus komodoensis]
KAF7254693.1         -          7tm_1                PF00001.26   8.1e-58  195.9  10.3   1.1e-57  195.6  10.3   1.1   1   0   0   1   1   1   1 Neuromedin-B receptor [Varanus komodoensis]
KAF7244916.1         -          7tm_1                PF00001.26   3.4e-57  193.9  25.3   5.2e-57  193.3  25.3   1.3   1   0   0   1   1   1   1 Cysteinyl leukotriene receptor 1 [Varanus komodoensis]
KAF7249255.1         -          7tm_1                PF00001.26   4.2e-57  193.6  23.7   5.7e-57  193.2  23.7   1.2   1   0   0   1   1   1   1 Neuropeptide Y receptor type 2 [Varanus komodoensis]
KAF7247398.1         -          7tm_1                PF00001.26     6e-57  193.1  20.0     6e-57  193.1  20.0   1.6   2   0   0   2   2   1   1 Neuropeptide FF receptor 1 [Varanus komodoensis]
KAF7247710.1         -          7tm_1                PF00001.26   7.5e-57  192.8  24.7   7.5e-57  192.8  24.7   1.4   2   0   0   2   2   1   1 C-X-C chemokine receptor type 6 [Varanus komodoensis]
KAF7236966.1         -          7tm_1                PF00001.26   1.7e-56  191.6  16.9   2.2e-56  191.2  16.9   1.1   1   0   0   1   1   1   1 Neuromedin-U receptor 1 [Varanus komodoensis]
KAF7249392.1         -          7tm_1                PF00001.26   1.8e-56  191.5  26.2   2.4e-56  191.1  26.2   1.2   1   0   0   1   1   1   1 Neuropeptide Y receptor type 6 [Varanus komodoensis]
KAF7253341.1         -          7tm_1                PF00001.26   2.3e-56  191.2  20.6   2.3e-56  191.2  20.6   1.4   2   0   0   2   2   1   1 Trace amine-associated receptor 1 [Varanus komodoensis]
KAF7249534.1         -          7tm_1                PF00001.26   2.5e-56  191.1  18.8   3.5e-56  190.6  18.8   1.2   1   0   0   1   1   1   1 Neuromedin-U receptor 2 [Varanus komodoensis]
KAF7242487.1         -          7tm_1                PF00001.26   2.6e-56  191.0   0.0     3e-56  190.8   0.0   1.0   1   0   0   1   1   1   1 C-X-C chemokine receptor type 3-2 [Varanus komodoensis]
KAF7244710.1         -          7tm_1                PF00001.26     3e-56  190.8  13.0     4e-56  190.4  13.0   1.2   1   0   0   1   1   1   1 Histamine H3 receptor [Varanus komodoensis]
KAF7236502.1         -          7tm_1                PF00001.26   3.3e-56  190.6  15.0   3.3e-56  190.6  15.0   1.4   2   0   0   2   2   1   1 Chemokine-like receptor 1 [Varanus komodoensis]
KAF7236541.1         -          7tm_1                PF00001.26   1.5e-55  188.5  17.6   2.3e-55  187.9  17.6   1.3   1   0   0   1   1   1   1 Chemokine-like receptor 1 [Varanus komodoensis]
KAF7242943.1         -          7tm_1                PF00001.26   4.1e-55  187.1  13.0   5.9e-55  186.6  13.0   1.2   1   0   0   1   1   1   1 Melanin-concentrating hormone receptor 1 [Varanus komodoensis]
KAF7249725.1         -          7tm_1                PF00001.26   1.1e-54  185.6  14.8   1.5e-54  185.2  14.8   1.2   1   0   0   1   1   1   1 rhodopsin [Varanus komodoensis]
KAF7253427.1         -          7tm_1                PF00001.26   2.2e-54  184.7  21.3   2.9e-54  184.3  21.3   1.2   1   0   0   1   1   1   1 Prolactin-releasing peptide receptor [Varanus komodoensis]
KAF7237885.1         -          7tm_1                PF00001.26   4.5e-54  183.7  31.7   6.4e-54  183.2  31.7   1.2   1   0   0   1   1   1   1 P2Y purinoceptor 2 [Varanus komodoensis]
KAF7240304.1         -          7tm_1                PF00001.26   5.4e-54  183.4  31.4   8.5e-54  182.8  31.4   1.3   1   0   0   1   1   1   1 hypothetical protein EYD10_13019 [Varanus komodoensis]
KAF7254575.1         -          7tm_1                PF00001.26   5.6e-54  183.4  13.3   6.9e-54  183.0  13.3   1.1   1   0   0   1   1   1   1 Short-wave-sensitive opsin 1 [Varanus komodoensis]
KAF7251645.1         -          7tm_1                PF00001.26   1.6e-53  181.8  23.2     2e-53  181.5  23.2   1.1   1   0   0   1   1   1   1 B2 bradykinin receptor [Varanus komodoensis]
KAF7250322.1         -          7tm_1                PF00001.26   1.7e-53  181.8  26.9   2.1e-53  181.5  26.9   1.1   1   0   0   1   1   1   1 Proteinase-activated receptor 1 [Varanus komodoensis]
KAF7251782.1         -          7tm_1                PF00001.26     3e-53  181.0  24.8   4.1e-53  180.5  24.8   1.2   1   0   0   1   1   1   1 Prolactin-releasing peptide receptor [Varanus komodoensis]
KAF7242694.1         -          7tm_1                PF00001.26   5.6e-53  180.1  20.8   8.5e-53  179.5  20.8   1.3   1   0   0   1   1   1   1 Leukotriene B4 receptor 1 [Varanus komodoensis]
KAF7250319.1         -          7tm_1                PF00001.26   9.3e-53  179.4  36.1   1.6e-52  178.6  36.1   1.4   1   0   0   1   1   1   1 Proteinase-activated receptor 1 [Varanus komodoensis]
KAF7240777.1         -          7tm_1                PF00001.26   1.2e-52  179.0  22.3   1.5e-52  178.7  22.3   1.1   1   0   0   1   1   1   1 Chemokine-like receptor 1 [Varanus komodoensis]
KAF7249428.1         -          7tm_1                PF00001.26   1.3e-52  178.9   9.9   1.6e-52  178.6   9.9   1.1   1   0   0   1   1   1   1 Motilin receptor [Varanus komodoensis]
KAF7246953.1         -          7tm_1                PF00001.26   1.7e-52  178.5  20.1   7.7e-31  107.5  12.1   2.2   2   0   0   2   2   2   2 Orexin receptor type 2 [Varanus komodoensis]
KAF7242991.1         -          7tm_1                PF00001.26   2.4e-52  178.0  19.3   3.1e-52  177.6  19.3   1.2   1   0   0   1   1   1   1 Chemokine-like receptor 1 [Varanus komodoensis]
KAF7240223.1         -          7tm_1                PF00001.26   7.2e-52  176.4   3.9   9.1e-52  176.1   3.9   1.1   1   0   0   1   1   1   1 Vasopressin V2 receptor [Varanus komodoensis]
KAF7239532.1         -          7tm_1                PF00001.26   1.2e-51  175.8  15.3   1.5e-51  175.4  15.3   1.1   1   0   0   1   1   1   1 Gonadotropin-releasing hormone II receptor [Varanus komodoensis]
KAF7242389.1         -          7tm_1                PF00001.26   1.2e-51  175.7  15.6   1.6e-51  175.3  15.6   1.2   1   0   0   1   1   1   1 Chemokine-like receptor 1 [Varanus komodoensis]
KAF7249341.1         -          7tm_1                PF00001.26   2.5e-51  174.7  24.0   3.2e-51  174.3  24.0   1.1   1   0   0   1   1   1   1 Prokineticin receptor 2 [Varanus komodoensis]
KAF7243085.1         -          7tm_1                PF00001.26   3.2e-51  174.3  18.0   4.1e-51  174.0  18.0   1.1   1   0   0   1   1   1   1 Urotensin-2 receptor [Varanus komodoensis]
KAF7244914.1         -          7tm_1                PF00001.26     9e-51  172.8  13.2   1.5e-50  172.2  13.2   1.3   1   0   0   1   1   1   1 Growth hormone secretagogue receptor type 1, partial [Varanus komodoensis]
KAF7249078.1         -          7tm_1                PF00001.26   1.9e-50  171.8  25.3   2.6e-50  171.3  25.3   1.2   1   0   0   1   1   1   1 Urotensin-2 receptor [Varanus komodoensis]
KAF7243303.1         -          7tm_1                PF00001.26   3.4e-50  170.9  42.0   3.8e-38  131.5  23.4   2.8   2   1   0   2   2   2   2 G-protein coupled receptor 35 [Varanus komodoensis]
KAF7244139.1         -          7tm_1                PF00001.26   3.4e-50  170.9  15.0   6.3e-50  170.1  14.8   1.5   2   0   0   2   2   1   1 Neuropeptide Y receptor type 5, partial [Varanus komodoensis]
KAF7235201.1         -          7tm_1                PF00001.26   4.5e-50  170.6   9.5   5.5e-50  170.3   9.5   1.1   1   0   0   1   1   1   1 Leukotriene B4 receptor 1 [Varanus komodoensis]
KAF7243335.1         -          7tm_1                PF00001.26   1.1e-49  169.3  21.8   1.6e-49  168.8  21.8   1.2   1   0   0   1   1   1   1 P2Y purinoceptor 1 [Varanus komodoensis]
KAF7244860.1         -          7tm_1                PF00001.26   1.9e-49  168.5  19.3   2.6e-49  168.1  19.3   1.2   1   0   0   1   1   1   1 hypothetical protein EYD10_08970 [Varanus komodoensis]
KAF7242600.1         -          7tm_1                PF00001.26   3.8e-49  167.5  14.9   5.4e-49  167.0  14.9   1.2   1   0   0   1   1   1   1 Growth hormone secretagogue receptor type 1 [Varanus komodoensis]
KAF7250317.1         -          7tm_1                PF00001.26   1.3e-48  165.7  36.1   4.1e-48  164.1  34.3   2.0   2   0   0   2   2   2   1 Proteinase-activated receptor 3 [Varanus komodoensis]
KAF7249077.1         -          7tm_1                PF00001.26   2.9e-48  164.6   5.6   4.2e-48  164.1   5.6   1.2   1   0   0   1   1   1   1 Urotensin-2 receptor [Varanus komodoensis]
KAF7240855.1         -          7tm_1                PF00001.26   3.3e-48  164.4  12.6   4.3e-48  164.1  12.6   1.1   1   0   0   1   1   1   1 P2Y purinoceptor 1 [Varanus komodoensis]
KAF7254232.1         -          7tm_1                PF00001.26   1.1e-47  162.8  27.5   1.3e-47  162.5  27.5   1.1   1   0   0   1   1   1   1 P2Y purinoceptor 8 [Varanus komodoensis]
KAF7252920.1         -          7tm_1                PF00001.26   2.1e-47  161.8  12.3   2.6e-47  161.5  12.3   1.1   1   0   0   1   1   1   1 Parapinopsin [Varanus komodoensis]
KAF7252578.1         -          7tm_1                PF00001.26   2.5e-47  161.6  25.9   3.3e-47  161.2  25.9   1.2   1   0   0   1   1   1   1 putative G-protein coupled receptor 45 [Varanus komodoensis]
KAF7241951.1         -          7tm_1                PF00001.26   5.8e-47  160.4  51.0   2.8e-37  128.6  23.4   3.5   2   2   0   2   2   2   2 Olfactory receptor 4S2 [Varanus komodoensis]
KAF7251117.1         -          7tm_1                PF00001.26   1.2e-46  159.4  20.0   1.7e-46  158.8  20.0   1.3   1   0   0   1   1   1   1 hypothetical protein EYD10_03421 [Varanus komodoensis]
KAF7249659.1         -          7tm_1                PF00001.26   1.8e-46  158.7  14.5   2.6e-46  158.3  14.5   1.2   1   0   0   1   1   1   1 Parapinopsin, partial [Varanus komodoensis]
KAF7241992.1         -          7tm_1                PF00001.26   3.1e-46  158.0  27.6     4e-46  157.6  27.6   1.1   1   0   0   1   1   1   1 2-oxoglutarate receptor 1 [Varanus komodoensis]
KAF7238792.1         -          7tm_1                PF00001.26   3.2e-46  157.9   8.7   3.8e-46  157.7   8.7   1.0   1   0   0   1   1   1   1 Urotensin-2 receptor [Varanus komodoensis]
KAF7238009.1         -          7tm_1                PF00001.26   3.3e-46  157.9  26.8   2.3e-39  135.5  20.7   2.3   2   0   0   2   2   2   2 Olfactory receptor 14I1 [Varanus komodoensis]
KAF7244039.1         -          7tm_1                PF00001.26     5e-46  157.3  13.8   6.7e-46  156.9  13.8   1.2   1   0   0   1   1   1   1 Prostaglandin E2 receptor EP4 subtype [Varanus komodoensis]
KAF7253629.1         -          7tm_1                PF00001.26     1e-45  156.3  32.4   1.3e-45  155.9  32.4   1.1   1   0   0   1   1   1   1 Adenosine receptor A3 [Varanus komodoensis]
KAF7240102.1         -          7tm_1                PF00001.26   1.1e-45  156.1  12.0   1.6e-45  155.7  12.0   1.2   1   0   0   1   1   1   1 Red-sensitive opsin [Varanus komodoensis]
KAF7244854.1         -          7tm_1                PF00001.26   6.7e-45  153.6  24.3   8.6e-45  153.2  24.3   1.1   1   0   0   1   1   1   1 Melatonin receptor type 1C [Varanus komodoensis]
